,gene_name,protein_name
89,Fcan01_27923,OXA37336
90,Fcan01_27903,OXA37340
91,Fcan01_27871,OXA37380
92,Fcan01_27877,OXA37382
93,Fcan01_27874,OXA37383
94,Fcan01_27826,OXA37390
95,Fcan01_27837,OXA37403
96,Fcan01_27833,OXA37407
97,Fcan01_27807,OXA37418
98,Fcan01_27797,OXA37427
99,Fcan01_27794,OXA37429
100,Fcan01_27810,OXA37437
101,Fcan01_27796,OXA37445
102,Fcan01_27780,OXA37452
103,Fcan01_27788,OXA37456
104,Fcan01_27772,OXA37481
105,Fcan01_27741,OXA37487
106,Fcan01_27734,OXA37517
107,Fcan01_27658,OXA37528
108,Fcan01_27650,OXA37536
109,Fcan01_27688,OXA37539
110,Fcan01_27684,OXA37541
111,Fcan01_27686,OXA37543
112,Fcan01_27682,OXA37547
113,Fcan01_27634,OXA37550
114,Fcan01_27637,OXA37553
115,Fcan01_27614,OXA37574
116,Fcan01_27615,OXA37575
117,Fcan01_27648,OXA37587
118,Fcan01_27647,OXA37594
119,Fcan01_27604,OXA37630
120,Fcan01_27600,OXA37634
121,Fcan01_27602,OXA37636
122,Fcan01_27597,OXA37640
123,Fcan01_27577,OXA37646
124,Fcan01_27574,OXA37649
125,Fcan01_27572,OXA37651
126,Fcan01_27583,OXA37656
127,Fcan01_27589,OXA37657
128,Fcan01_27584,OXA37660
129,Fcan01_27581,OXA37663
130,Fcan01_27566,OXA37673
131,Fcan01_27567,OXA37674
132,Fcan01_27562,OXA37677
133,Fcan01_27549,OXA37680
134,Fcan01_27505,OXA37724
135,Fcan01_27479,OXA37759
136,Fcan01_27416,OXA37772
137,Fcan01_27432,OXA37790
138,Fcan01_27467,OXA37806
139,Fcan01_27452,OXA37813
140,Fcan01_27393,OXA37819
141,Fcan01_27486,OXA37828
142,Fcan01_27409,OXA37842
143,Fcan01_27337,OXA37851
144,Fcan01_27382,OXA37857
145,Fcan01_27383,OXA37858
146,Fcan01_27323,OXA37880
147,Fcan01_27321,OXA37882
148,Fcan01_27313,OXA37908
149,Fcan01_27276,OXA37928
150,Fcan01_27252,OXA37946
151,Fcan01_27251,OXA37949
152,Fcan01_27256,OXA37950
153,Fcan01_27288,OXA37957
154,Fcan01_27283,OXA37960
155,Fcan01_27287,OXA37964
156,Fcan01_27266,OXA37967
157,Fcan01_27292,OXA37982
158,Fcan01_27248,OXA37987
159,Fcan01_27221,OXA37997
160,Fcan01_27199,OXA38004
161,Fcan01_27197,OXA38006
162,Fcan01_27203,OXA38012
163,Fcan01_27202,OXA38013
164,Fcan01_27172,OXA38021
165,Fcan01_27171,OXA38022
166,Fcan01_27234,OXA38035
167,Fcan01_27182,OXA38039
168,Fcan01_27183,OXA38040
169,Fcan01_27180,OXA38041
170,Fcan01_27213,OXA38057
171,Fcan01_27198,OXA38062
172,Fcan01_27192,OXA38065
173,Fcan01_27166,OXA38072
174,Fcan01_27167,OXA38073
175,Fcan01_27168,OXA38074
176,Fcan01_27169,OXA38075
177,Fcan01_27241,OXA38076
178,Fcan01_27243,OXA38078
179,Fcan01_27242,OXA38079
180,Fcan01_27135,OXA38083
181,Fcan01_27072,OXA38088
182,Fcan01_27075,OXA38093
183,Fcan01_27149,OXA38097
184,Fcan01_27146,OXA38098
185,Fcan01_27142,OXA38102
186,Fcan01_27140,OXA38104
187,Fcan01_27115,OXA38108
188,Fcan01_27116,OXA38111
189,Fcan01_27119,OXA38116
190,Fcan01_27099,OXA38119
191,Fcan01_27091,OXA38121
192,Fcan01_27094,OXA38124
193,Fcan01_27120,OXA38134
194,Fcan01_27078,OXA38138
195,Fcan01_27079,OXA38139
196,Fcan01_27077,OXA38141
197,Fcan01_27101,OXA38147
198,Fcan01_27153,OXA38156
199,Fcan01_27082,OXA38163
200,Fcan01_27086,OXA38167
201,Fcan01_26967,OXA38172
202,Fcan01_26945,OXA38210
203,Fcan01_26942,OXA38217
204,Fcan01_26948,OXA38219
205,Fcan01_26971,OXA38237
206,Fcan01_27044,OXA38245
207,Fcan01_27043,OXA38246
208,Fcan01_26925,OXA38256
209,Fcan01_27039,OXA38261
210,Fcan01_27037,OXA38263
211,Fcan01_27064,OXA38281
212,Fcan01_27058,OXA38286
213,Fcan01_26984,OXA38301
214,Fcan01_26986,OXA38303
215,Fcan01_26939,OXA38315
216,Fcan01_27001,OXA38318
217,Fcan01_27000,OXA38319
218,Fcan01_27007,OXA38320
219,Fcan01_26819,OXA38334
220,Fcan01_26898,OXA38339
221,Fcan01_26793,OXA38366
222,Fcan01_26800,OXA38378
223,Fcan01_26888,OXA38388
224,Fcan01_26855,OXA38402
225,Fcan01_26900,OXA38421
226,Fcan01_26903,OXA38422
227,Fcan01_26842,OXA38456
228,Fcan01_26709,OXA38466
229,Fcan01_26725,OXA38478
230,Fcan01_26726,OXA38481
231,Fcan01_26697,OXA38494
232,Fcan01_26716,OXA38500
233,Fcan01_26717,OXA38501
234,Fcan01_26749,OXA38506
235,Fcan01_26677,OXA38518
236,Fcan01_26682,OXA38540
237,Fcan01_26681,OXA38543
238,Fcan01_26765,OXA38550
239,Fcan01_26764,OXA38551
240,Fcan01_26769,OXA38554
241,Fcan01_26754,OXA38562
242,Fcan01_26664,OXA38568
243,Fcan01_26631,OXA38588
244,Fcan01_26528,OXA38597
245,Fcan01_26522,OXA38603
246,Fcan01_26556,OXA38618
247,Fcan01_26552,OXA38622
248,Fcan01_26619,OXA38626
249,Fcan01_26600,OXA38686
250,Fcan01_26514,OXA38696
251,Fcan01_26409,OXA38729
252,Fcan01_26482,OXA38744
253,Fcan01_26505,OXA38786
254,Fcan01_26504,OXA38787
255,Fcan01_26473,OXA38798
256,Fcan01_26472,OXA38799
257,Fcan01_26477,OXA38802
258,Fcan01_26390,OXA38806
259,Fcan01_26397,OXA38813
260,Fcan01_26442,OXA38816
261,Fcan01_26415,OXA38828
262,Fcan01_26497,OXA38834
263,Fcan01_26492,OXA38839
264,Fcan01_26491,OXA38840
265,Fcan01_26498,OXA38843
266,Fcan01_26468,OXA38856
267,Fcan01_26280,OXA38883
268,Fcan01_26281,OXA38884
269,Fcan01_26267,OXA38892
270,Fcan01_26307,OXA38899
271,Fcan01_26276,OXA38904
272,Fcan01_26236,OXA38910
273,Fcan01_26232,OXA38914
274,Fcan01_26321,OXA38931
275,Fcan01_26294,OXA38943
276,Fcan01_26291,OXA38946
277,Fcan01_26228,OXA38960
278,Fcan01_26229,OXA38961
279,Fcan01_26225,OXA38963
280,Fcan01_26223,OXA38969
281,Fcan01_26347,OXA38972
282,Fcan01_26278,OXA38985
283,Fcan01_26336,OXA38988
284,Fcan01_26337,OXA38989
285,Fcan01_26282,OXA38996
286,Fcan01_26289,OXA39003
287,Fcan01_26250,OXA39007
288,Fcan01_26255,OXA39010
289,Fcan01_26254,OXA39011
290,Fcan01_26257,OXA39012
291,Fcan01_26350,OXA39014
292,Fcan01_26351,OXA39015
293,Fcan01_26115,OXA39020
294,Fcan01_26167,OXA39041
295,Fcan01_26168,OXA39044
296,Fcan01_26156,OXA39084
297,Fcan01_26187,OXA39096
298,Fcan01_26074,OXA39110
299,Fcan01_26081,OXA39118
300,Fcan01_26130,OXA39123
301,Fcan01_26208,OXA39132
302,Fcan01_26200,OXA39136
303,Fcan01_26206,OXA39138
304,Fcan01_26207,OXA39139
305,Fcan01_26204,OXA39140
306,Fcan01_26032,OXA39177
307,Fcan01_26059,OXA39204
308,Fcan01_26024,OXA39218
309,Fcan01_26025,OXA39219
310,Fcan01_26020,OXA39222
311,Fcan01_26040,OXA39230
312,Fcan01_26041,OXA39231
313,Fcan01_26049,OXA39235
314,Fcan01_25987,OXA39240
315,Fcan01_26014,OXA39252
316,Fcan01_25856,OXA39257
317,Fcan01_25925,OXA39266
318,Fcan01_25839,OXA39294
319,Fcan01_25943,OXA39310
320,Fcan01_25949,OXA39312
321,Fcan01_25914,OXA39332
322,Fcan01_25898,OXA39333
323,Fcan01_25899,OXA39334
324,Fcan01_25890,OXA39341
325,Fcan01_25968,OXA39360
326,Fcan01_25844,OXA39365
327,Fcan01_25872,OXA39388
328,Fcan01_25981,OXA39393
329,Fcan01_25826,OXA39412
330,Fcan01_25954,OXA39418
331,Fcan01_25950,OXA39422
332,Fcan01_25694,OXA39447
333,Fcan01_25696,OXA39449
334,Fcan01_25666,OXA39464
335,Fcan01_25794,OXA39472
336,Fcan01_25796,OXA39474
337,Fcan01_25801,OXA39475
338,Fcan01_25716,OXA39492
339,Fcan01_25719,OXA39493
340,Fcan01_25639,OXA39516
341,Fcan01_25630,OXA39519
342,Fcan01_25743,OXA39527
343,Fcan01_25770,OXA39535
344,Fcan01_25700,OXA39562
345,Fcan01_25708,OXA39564
346,Fcan01_25779,OXA39566
347,Fcan01_25751,OXA39583
348,Fcan01_25619,OXA39588
349,Fcan01_25614,OXA39589
350,Fcan01_25732,OXA39625
351,Fcan01_25735,OXA39630
352,Fcan01_25456,OXA39651
353,Fcan01_25482,OXA39675
354,Fcan01_25406,OXA39682
355,Fcan01_25573,OXA39687
356,Fcan01_25576,OXA39692
357,Fcan01_25602,OXA39707
358,Fcan01_25599,OXA39729
359,Fcan01_25517,OXA39739
360,Fcan01_25519,OXA39747
361,Fcan01_25496,OXA39755
362,Fcan01_25507,OXA39759
363,Fcan01_25417,OXA39763
364,Fcan01_25415,OXA39766
365,Fcan01_25562,OXA39773
366,Fcan01_25563,OXA39774
367,Fcan01_25560,OXA39775
368,Fcan01_25444,OXA39779
369,Fcan01_25441,OXA39780
370,Fcan01_25443,OXA39782
371,Fcan01_25448,OXA39788
372,Fcan01_25472,OXA39806
373,Fcan01_25504,OXA39822
374,Fcan01_25502,OXA39827
375,Fcan01_25338,OXA39837
376,Fcan01_25275,OXA39845
377,Fcan01_25221,OXA39858
378,Fcan01_25390,OXA39869
379,Fcan01_25211,OXA39903
380,Fcan01_25323,OXA39913
381,Fcan01_25241,OXA39922
382,Fcan01_25249,OXA39924
383,Fcan01_25248,OXA39925
384,Fcan01_25370,OXA39935
385,Fcan01_25236,OXA39940
386,Fcan01_25234,OXA39942
387,Fcan01_25239,OXA39949
388,Fcan01_25393,OXA39954
389,Fcan01_25382,OXA39958
390,Fcan01_25381,OXA39961
391,Fcan01_25302,OXA39966
392,Fcan01_25264,OXA39979
393,Fcan01_25267,OXA39980
394,Fcan01_25353,OXA39988
395,Fcan01_25251,OXA40001
396,Fcan01_25283,OXA40016
397,Fcan01_25286,OXA40021
398,Fcan01_25176,OXA40067
399,Fcan01_25189,OXA40078
400,Fcan01_25190,OXA40098
401,Fcan01_25160,OXA40105
402,Fcan01_25166,OXA40107
403,Fcan01_25164,OXA40109
404,Fcan01_25121,OXA40118
405,Fcan01_25127,OXA40125
406,Fcan01_24910,OXA40155
407,Fcan01_24913,OXA40158
408,Fcan01_25044,OXA40162
409,Fcan01_25000,OXA40187
410,Fcan01_25003,OXA40188
411,Fcan01_25002,OXA40189
412,Fcan01_25058,OXA40193
413,Fcan01_25051,OXA40197
414,Fcan01_24949,OXA40202
415,Fcan01_24876,OXA40215
416,Fcan01_24873,OXA40218
417,Fcan01_24871,OXA40220
418,Fcan01_24883,OXA40249
419,Fcan01_25033,OXA40261
420,Fcan01_24968,OXA40276
421,Fcan01_24852,OXA40284
422,Fcan01_25069,OXA40287
423,Fcan01_24959,OXA40298
424,Fcan01_24951,OXA40300
425,Fcan01_24865,OXA40310
426,Fcan01_24867,OXA40312
427,Fcan01_24835,OXA40331
428,Fcan01_25096,OXA40356
429,Fcan01_24832,OXA40364
430,Fcan01_25049,OXA40369
431,Fcan01_24970,OXA40377
432,Fcan01_24842,OXA40384
433,Fcan01_24923,OXA40410
434,Fcan01_24818,OXA40413
435,Fcan01_24811,OXA40414
436,Fcan01_24810,OXA40415
437,Fcan01_24812,OXA40417
438,Fcan01_24816,OXA40421
439,Fcan01_24633,OXA40425
440,Fcan01_24635,OXA40427
441,Fcan01_24701,OXA40431
442,Fcan01_24774,OXA40440
443,Fcan01_24776,OXA40442
444,Fcan01_24771,OXA40445
445,Fcan01_24772,OXA40446
446,Fcan01_24773,OXA40447
447,Fcan01_24642,OXA40448
448,Fcan01_24758,OXA40454
449,Fcan01_24713,OXA40476
450,Fcan01_24807,OXA40488
451,Fcan01_24804,OXA40489
452,Fcan01_24688,OXA40495
453,Fcan01_24628,OXA40497
454,Fcan01_24783,OXA40510
455,Fcan01_24784,OXA40513
456,Fcan01_24786,OXA40515
457,Fcan01_24671,OXA40522
458,Fcan01_24679,OXA40526
459,Fcan01_24678,OXA40527
460,Fcan01_24638,OXA40528
461,Fcan01_24731,OXA40531
462,Fcan01_24734,OXA40533
463,Fcan01_24739,OXA40537
464,Fcan01_24645,OXA40540
465,Fcan01_24647,OXA40541
466,Fcan01_24641,OXA40542
467,Fcan01_24766,OXA40546
468,Fcan01_24735,OXA40554
469,Fcan01_24619,OXA40562
470,Fcan01_24698,OXA40565
471,Fcan01_24693,OXA40566
472,Fcan01_24719,OXA40574
473,Fcan01_24716,OXA40575
474,Fcan01_24715,OXA40577
475,Fcan01_24651,OXA40587
476,Fcan01_24795,OXA40590
477,Fcan01_24793,OXA40591
478,Fcan01_24791,OXA40593
479,Fcan01_24661,OXA40601
480,Fcan01_24666,OXA40602
481,Fcan01_24665,OXA40605
482,Fcan01_24744,OXA40609
483,Fcan01_24466,OXA40626
484,Fcan01_24580,OXA40631
485,Fcan01_24584,OXA40633
486,Fcan01_24572,OXA40664
487,Fcan01_24446,OXA40675
488,Fcan01_24448,OXA40683
489,Fcan01_24598,OXA40721
490,Fcan01_24423,OXA40742
491,Fcan01_24587,OXA40745
492,Fcan01_24586,OXA40746
493,Fcan01_24541,OXA40755
494,Fcan01_24488,OXA40778
495,Fcan01_24451,OXA40808
496,Fcan01_24453,OXA40810
497,Fcan01_24550,OXA40822
498,Fcan01_24559,OXA40827
499,Fcan01_24206,OXA40865
500,Fcan01_24200,OXA40866
501,Fcan01_24251,OXA40886
502,Fcan01_24191,OXA40900
503,Fcan01_24198,OXA40903
504,Fcan01_24223,OXA40917
505,Fcan01_24221,OXA40919
506,Fcan01_24226,OXA40920
507,Fcan01_24227,OXA40921
508,Fcan01_24386,OXA40929
509,Fcan01_24309,OXA40936
510,Fcan01_24270,OXA40948
511,Fcan01_24277,OXA40953
512,Fcan01_24360,OXA40980
513,Fcan01_24367,OXA40981
514,Fcan01_24364,OXA40984
515,Fcan01_24215,OXA40997
516,Fcan01_24249,OXA41025
517,Fcan01_24189,OXA41053
518,Fcan01_24342,OXA41058
519,Fcan01_23935,OXA41070
520,Fcan01_24031,OXA41082
521,Fcan01_23940,OXA41092
522,Fcan01_23945,OXA41096
523,Fcan01_23933,OXA41097
524,Fcan01_24041,OXA41111
525,Fcan01_23991,OXA41127
526,Fcan01_24091,OXA41138
527,Fcan01_23922,OXA41158
528,Fcan01_23927,OXA41163
529,Fcan01_24086,OXA41253
530,Fcan01_24105,OXA41261
531,Fcan01_24002,OXA41267
532,Fcan01_24009,OXA41272
533,Fcan01_23954,OXA41274
534,Fcan01_23951,OXA41277
535,Fcan01_24158,OXA41290
536,Fcan01_24054,OXA41297
537,Fcan01_23967,OXA41309
538,Fcan01_24060,OXA41329
539,Fcan01_24062,OXA41331
540,Fcan01_23784,OXA41351
541,Fcan01_23786,OXA41352
542,Fcan01_23623,OXA41353
543,Fcan01_23754,OXA41378
544,Fcan01_23613,OXA41384
545,Fcan01_23650,OXA41389
546,Fcan01_23654,OXA41393
547,Fcan01_23828,OXA41396
548,Fcan01_23728,OXA41407
549,Fcan01_23729,OXA41408
550,Fcan01_23895,OXA41423
551,Fcan01_23823,OXA41435
552,Fcan01_23779,OXA41473
553,Fcan01_23636,OXA41481
554,Fcan01_23832,OXA41515
555,Fcan01_23831,OXA41518
556,Fcan01_23711,OXA41527
557,Fcan01_23799,OXA41535
558,Fcan01_23798,OXA41536
559,Fcan01_23611,OXA41551
560,Fcan01_23694,OXA41554
561,Fcan01_23860,OXA41563
562,Fcan01_23867,OXA41568
563,Fcan01_23763,OXA41575
564,Fcan01_23765,OXA41581
565,Fcan01_23646,OXA41593
566,Fcan01_23736,OXA41619
567,Fcan01_23676,OXA41624
568,Fcan01_23671,OXA41627
569,Fcan01_23900,OXA41630
570,Fcan01_23887,OXA41633
571,Fcan01_23808,OXA41642
572,Fcan01_23470,OXA41647
573,Fcan01_23477,OXA41650
574,Fcan01_23359,OXA41655
575,Fcan01_23353,OXA41657
576,Fcan01_23546,OXA41662
577,Fcan01_23547,OXA41663
578,Fcan01_23543,OXA41667
579,Fcan01_23426,OXA41679
580,Fcan01_23429,OXA41680
581,Fcan01_23511,OXA41695
582,Fcan01_23513,OXA41697
583,Fcan01_23492,OXA41701
584,Fcan01_23493,OXA41702
585,Fcan01_23496,OXA41705
586,Fcan01_23499,OXA41708
587,Fcan01_23416,OXA41717
588,Fcan01_23564,OXA41723
589,Fcan01_23566,OXA41724
590,Fcan01_23567,OXA41725
591,Fcan01_23371,OXA41729
592,Fcan01_23526,OXA41732
593,Fcan01_23520,OXA41733
594,Fcan01_23522,OXA41735
595,Fcan01_23430,OXA41741
596,Fcan01_23449,OXA41747
597,Fcan01_23448,OXA41748
598,Fcan01_23348,OXA41751
599,Fcan01_23445,OXA41756
600,Fcan01_23441,OXA41758
601,Fcan01_23578,OXA41761
602,Fcan01_23571,OXA41764
603,Fcan01_23393,OXA41776
604,Fcan01_23588,OXA41784
605,Fcan01_23583,OXA41787
606,Fcan01_23586,OXA41790
607,Fcan01_23587,OXA41791
608,Fcan01_23344,OXA41801
609,Fcan01_23468,OXA41805
610,Fcan01_23465,OXA41806
611,Fcan01_23464,OXA41807
612,Fcan01_23467,OXA41808
613,Fcan01_23364,OXA41816
614,Fcan01_23458,OXA41826
615,Fcan01_23502,OXA41828
616,Fcan01_23503,OXA41829
617,Fcan01_23505,OXA41833
618,Fcan01_23551,OXA41834
619,Fcan01_23555,OXA41838
620,Fcan01_23558,OXA41843
621,Fcan01_23337,OXA41852
622,Fcan01_23389,OXA41860
623,Fcan01_23380,OXA41865
624,Fcan01_23483,OXA41869
625,Fcan01_23480,OXA41872
626,Fcan01_23484,OXA41876
627,Fcan01_23489,OXA41877
628,Fcan01_23488,OXA41878
629,Fcan01_23409,OXA41879
630,Fcan01_23402,OXA41882
631,Fcan01_23407,OXA41885
632,Fcan01_23537,OXA41891
633,Fcan01_23535,OXA41893
634,Fcan01_23328,OXA41923
635,Fcan01_23093,OXA41932
636,Fcan01_23258,OXA41936
637,Fcan01_23119,OXA41948
638,Fcan01_23287,OXA41953
639,Fcan01_23045,OXA41964
640,Fcan01_23106,OXA41968
641,Fcan01_23230,OXA42018
642,Fcan01_23232,OXA42020
643,Fcan01_23238,OXA42022
644,Fcan01_23240,OXA42052
645,Fcan01_23245,OXA42055
646,Fcan01_23244,OXA42056
647,Fcan01_23246,OXA42058
648,Fcan01_23261,OXA42063
649,Fcan01_23186,OXA42071
650,Fcan01_23187,OXA42072
651,Fcan01_23319,OXA42085
652,Fcan01_23298,OXA42087
653,Fcan01_23292,OXA42089
654,Fcan01_23056,OXA42107
655,Fcan01_23160,OXA42148
656,Fcan01_23163,OXA42151
657,Fcan01_23277,OXA42178
658,Fcan01_23307,OXA42190
659,Fcan01_23222,OXA42201
660,Fcan01_22941,OXA42211
661,Fcan01_22784,OXA42226
662,Fcan01_22720,OXA42230
663,Fcan01_22724,OXA42233
664,Fcan01_22727,OXA42234
665,Fcan01_22830,OXA42241
666,Fcan01_22974,OXA42267
667,Fcan01_22978,OXA42271
668,Fcan01_22772,OXA42283
669,Fcan01_22779,OXA42292
670,Fcan01_22881,OXA42299
671,Fcan01_22858,OXA42333
672,Fcan01_22695,OXA42336
673,Fcan01_22950,OXA42354
674,Fcan01_22741,OXA42360
675,Fcan01_22795,OXA42367
676,Fcan01_22796,OXA42368
677,Fcan01_22905,OXA42395
678,Fcan01_22903,OXA42401
679,Fcan01_22988,OXA42406
680,Fcan01_22748,OXA42416
681,Fcan01_22872,OXA42422
682,Fcan01_22935,OXA42430
683,Fcan01_22930,OXA42433
684,Fcan01_22759,OXA42443
685,Fcan01_22679,OXA42444
686,Fcan01_22849,OXA42463
687,Fcan01_23003,OXA42466
688,Fcan01_23004,OXA42472
689,Fcan01_22682,OXA42475
690,Fcan01_22683,OXA42476
691,Fcan01_22767,OXA42506
692,Fcan01_22760,OXA42509
693,Fcan01_22896,OXA42513
694,Fcan01_22895,OXA42514
695,Fcan01_23020,OXA42562
696,Fcan01_22660,OXA42568
697,Fcan01_22663,OXA42571
698,Fcan01_22434,OXA42580
699,Fcan01_22576,OXA42585
700,Fcan01_22577,OXA42586
701,Fcan01_22635,OXA42593
702,Fcan01_22634,OXA42594
703,Fcan01_22633,OXA42595
704,Fcan01_22631,OXA42597
705,Fcan01_22638,OXA42600
706,Fcan01_22409,OXA42601
707,Fcan01_22471,OXA42607
708,Fcan01_22473,OXA42609
709,Fcan01_22488,OXA42613
710,Fcan01_22482,OXA42616
711,Fcan01_22486,OXA42620
712,Fcan01_22521,OXA42623
713,Fcan01_22526,OXA42626
714,Fcan01_22529,OXA42629
715,Fcan01_22647,OXA42635
716,Fcan01_22642,OXA42638
717,Fcan01_22558,OXA42644
718,Fcan01_22559,OXA42645
719,Fcan01_22552,OXA42646
720,Fcan01_22551,OXA42649
721,Fcan01_22554,OXA42652
722,Fcan01_22617,OXA42658
723,Fcan01_22612,OXA42663
724,Fcan01_22461,OXA42665
725,Fcan01_22503,OXA42684
726,Fcan01_22583,OXA42692
727,Fcan01_22582,OXA42693
728,Fcan01_22626,OXA42702
729,Fcan01_22623,OXA42707
730,Fcan01_22438,OXA42711
731,Fcan01_22530,OXA42712
732,Fcan01_22535,OXA42717
733,Fcan01_22537,OXA42719
734,Fcan01_22459,OXA42723
735,Fcan01_22454,OXA42728
736,Fcan01_22448,OXA42733
737,Fcan01_22446,OXA42737
738,Fcan01_22441,OXA42740
739,Fcan01_22569,OXA42743
740,Fcan01_22563,OXA42749
741,Fcan01_22416,OXA42757
742,Fcan01_22600,OXA42764
743,Fcan01_22601,OXA42765
744,Fcan01_22608,OXA42770
745,Fcan01_22497,OXA42779
746,Fcan01_22518,OXA42783
747,Fcan01_22513,OXA42790
748,Fcan01_22595,OXA42796
749,Fcan01_22468,OXA42803
750,Fcan01_22653,OXA42809
751,Fcan01_22655,OXA42811
752,Fcan01_22656,OXA42814
753,Fcan01_22658,OXA42816
754,Fcan01_22322,OXA42834
755,Fcan01_22316,OXA42855
756,Fcan01_22396,OXA42863
757,Fcan01_22297,OXA42879
758,Fcan01_22338,OXA42891
759,Fcan01_22330,OXA42895
760,Fcan01_22279,OXA42909
761,Fcan01_22360,OXA42915
762,Fcan01_22366,OXA42921
763,Fcan01_22288,OXA42922
764,Fcan01_22286,OXA42924
765,Fcan01_22287,OXA42925
766,Fcan01_22284,OXA42926
767,Fcan01_22285,OXA42927
768,Fcan01_22282,OXA42928
769,Fcan01_22283,OXA42929
770,Fcan01_22280,OXA42930
771,Fcan01_22354,OXA42936
772,Fcan01_22355,OXA42937
773,Fcan01_22358,OXA42940
774,Fcan01_22264,OXA42972
775,Fcan01_22178,OXA42996
776,Fcan01_22173,OXA43001
777,Fcan01_22174,OXA43002
778,Fcan01_22230,OXA43027
779,Fcan01_21944,OXA43047
780,Fcan01_22120,OXA43058
781,Fcan01_21997,OXA43064
782,Fcan01_22013,OXA43084
783,Fcan01_22011,OXA43086
784,Fcan01_22157,OXA43091
785,Fcan01_22029,OXA43113
786,Fcan01_22185,OXA43116
787,Fcan01_22181,OXA43120
788,Fcan01_21964,OXA43136
789,Fcan01_22132,OXA43173
790,Fcan01_21981,OXA43186
791,Fcan01_22043,OXA43192
792,Fcan01_22161,OXA43207
793,Fcan01_22206,OXA43223
794,Fcan01_21957,OXA43243
795,Fcan01_22197,OXA43255
796,Fcan01_22050,OXA43260
797,Fcan01_22117,OXA43268
798,Fcan01_21977,OXA43277
799,Fcan01_21976,OXA43278
800,Fcan01_21923,OXA43280
801,Fcan01_21926,OXA43283
802,Fcan01_22143,OXA43301
803,Fcan01_22146,OXA43306
804,Fcan01_22037,OXA43314
805,Fcan01_22030,OXA43317
806,Fcan01_21773,OXA43330
807,Fcan01_21751,OXA43337
808,Fcan01_21755,OXA43341
809,Fcan01_21868,OXA43346
810,Fcan01_21863,OXA43347
811,Fcan01_21861,OXA43349
812,Fcan01_21860,OXA43350
813,Fcan01_21866,OXA43352
814,Fcan01_21865,OXA43353
815,Fcan01_21864,OXA43354
816,Fcan01_21892,OXA43357
817,Fcan01_21891,OXA43360
818,Fcan01_21894,OXA43363
819,Fcan01_21760,OXA43365
820,Fcan01_21816,OXA43378
821,Fcan01_21818,OXA43382
